Name der Größe,Max. Remotespeicherdatenträger (Menge),Maximale Bandbreite (Mbps),Lokale SSD (Menge),Max. temporäre Speicherdatenträger (Menge),Spitzenfrequenz für alle Kerne (GHz),SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Basis-CPU-Leistung der VM (%)1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Temporärer Speicher (SSD): GiB,Nicht zwischengespeicherte Speicher-IOPS,Größe der lokalen SSD (GB),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,Arbeitsspeicher (GiB),Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),NVMe-Datenträgergröße (TiB),vCPU,Basis-CPU-Frequenz (GHz),Größe des Betriebssystemdatenträgers (GB),Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,RDMA-Leistung (GB/s),NVMe-Datenträgergröße (TB),Arbeitsspeicher (GB),Anfängliches Guthaben (Menge),Maximale Netzwerkbandbreite (MB/s),Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1IOPS,Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,NVMe-Datenträgerdurchsatz (MB/s),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Temporäre Datenträgergröße (GiB),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,NVMe-Datenträger-IOPS,Nicht zwischengespeicherte Datenträger-IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Netzwerkbandbreite,ReadOnly-IOPS des temporären Datenträgers,Nicht zwischengespeicherter Special2Storage IOPS,Temp ReadOnly Storage Speed (MBps),Max. Anzahl Datenträger,vCPUs (Anzahl),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,Random Read1-Durchsatz (MB/s) des temporären Datenträgers,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),Temp ReadWrite Storage Speed (MBps),Erwartete ausgehende Netzwerkbandbreite (MBit/s),Arbeitsspeicher der Beschleuniger (GB),Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Größe des temporären Datenträgers (GB),vCPUs (Menge),Max Temp Storage (Menge),Max. Remotespeicher (Menge),Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Max. gebildetes Guthaben (Menge),Nicht zwischengespeicherter Burst1Special2Storage IOPS,Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Speicherbandbreite (GB/s),SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximale Anzahl NICs,Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Memory: GiB,Max. NICs (Anzahl),Beschleuniger (Anzahl),Arbeitsspeicherbandbreite (GB/s),Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,Temp ReadWrite Storage IOPS,Random Write1-Durchsatz (MB/s) des temporären Datenträgers,SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Max. Bandbreite (MBit/s),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,RAM (GiB),Temp ReadOnly Storage IOPS,Temporäre Speichergröße (GiB),ReadWrite-IOPS des temporären Datenträgers,EPC-Arbeitsspeicher (GiB),SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Spitzenfrequenz für Einzelkern (GHz),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Kerne (Anzahl),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Guthabenbildung/Stunde (Menge),EPC-Speicher (MiB),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Maximale Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Max. NVMe-Datenträger (Anzahl)
Standard_NC6s_v2,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,200,,,,,,736,,,,20000,,,,,,,,6,,,,,,,,16,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC12s_v2,24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,400,,,,,,1474,,,,40.000,,,,,,,,12,,,,,,,,32,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC24s_v2,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,800,,,,,,2948,,,,80.000,,,,,,,,24,,,,,,,,64,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC24rs_v2,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,800,,,,,,2948,,,,80.000,,,,,,,,24,,,,,,,,64,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC6s_v3,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,200,,,,,,736,,,,20000,,,,,,,,6,,,,,,,,16,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC12s_v3,24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,400,,,,,,1474,,,,40.000,,,,,,,,12,,,,,,,,32,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC24s_v3,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,800,,,,,,2948,,,,80.000,,,,,,,,24,,,,,,,,64,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC24rs_v3,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,800,,,,,,2948,,,,80.000,,,,,,,,24,,,,,,,,64,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC4as_T4_v3,8,8000,,1,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,176,,,,,,,,,,,,4,,,,,,,,16,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC8as_T4_v3,16,8.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,352,,,,,,,,,,,,8,,,,,,,,16,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC16as_T4_v3,32,8.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,352,,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC64as_T4_v3,32,32000,,1,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,2816,,,,,,,,,,,,64,,,,,,,,64,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC24ads_A100_v4,8,20000,,1,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,1.000,,,,,,64,,,,30.000,,,,,,,,24,,,,,,,,80,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC48ads_A100_v4,16,40.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,2.000,,,,,,128,,,,60000,,,,,,,,48,,,,,,,,160,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC96ads_A100_v4,32,80.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,4000,,,,,,256,,,,120000,,,,,,,,96,,,,,,,,320,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND96asr_A100_v4,32,24.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,800,,,,,,6000,,,,80.000,,,,,,,,96,,,,,,,,320,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND96amsr_A100_v4,32,24.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.900,,,,,800,,,,,,6400,,,,80.000,,,,,,,,96,,,,,,,,80,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND40rs_v2,32,24.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,672,,,,,800,,,,,,2948,,,,80.000,,,,,,,,40,,,,,,,,256,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND96isr_H100_v5,32,80.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.900,,,,,612,,,,,,28000,,,,40800,,,,,,,,96,,,,,,,,640,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND96isr_H200_v5,16,80.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,612,,,,,,28000,,,,40800,,,,,,,,96,,,,,,,,1128,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_ND96isr_MI300X_v5,16,80.000,,1,,,,,,,,,,,,,,,,,28,,,,,,,,1850,,,,,1200,,,,,,1000,,,,80.000,,,,,,,,96,,,,,,,,1535,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Standard_NV12s_v3,12,6000,,1,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,320,,,,,,,,,,,,12,,,,,,,,8,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV24s_v3,24,12000,,1,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,640,,,,,,,,,,,,24,,,,,,,,16,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV48s_v3,32,24.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,,,,,,,1280,,,,,,,,,,,,48,,,,,,,,32,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV4as_v4,4,1.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,96,,,,,,88,,,,6400,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,2,1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV8as_v4,8,2000,,1,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,192,,,,,,176,,,,12800,,,,,,,,8,,,,,,,,4,,,,,,,,,,,,,,,,4,1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV16as_v4,16,4000,,1,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,384,,,,,,352,,,,25600,,,,,,,,16,,,,,,,,8,,,,,,,,,,,,,,,,8,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV32as_v4,32,8.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,768,,,,,,704,,,,51.200,,,,,,,,32,,,,,,,,16,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV6ads_A10_v5,4,5000,,1,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,100,,,,,,180,,,,6400,,,,,,,,6,,,,,,,,4,,,,,,,,,,,,,,,,1,1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV12ads_A10_v5,4,10000,,1,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,200,,,,,,360,,,,12800,,,,,,,,12,,,,,,,,8,,,,,,,,,,,,,,,,2,1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV18ads_A10_v5,8,20000,,1,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,384,,,,,,720,,,,25600,,,,,,,,18,,,,,,,,12,,,,,,,,,,,,,,,,4,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV36ads_A10_v5,16,40.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,768,,,,,,1440,,,,51.200,,,,,,,,36,,,,,,,,24,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV36adms_A10_v5,32,80.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,768,,,,,,2880,,,,51.200,,,,,,,,36,,,,,,,,24,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV72ads_A10_v5,32,80.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,1200,,,,,,2880,,,,80.000,,,,,,,,72,,,,,,,,48,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV4ads_V710_v5,2,3300,,2,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,180,,,,,,256,,,,7600,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,2,1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV8ads_V710_v5,4,6600,,4,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,360,,,,,,512,,,,1520,,,,,,,,8,,,,,,,,8,,,,,,,,,,,,,,,,4,1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV12ads_V710_v5,6,10000,,6,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,540,,,,,,768,,,,2280,,,,,,,,12,,,,,,,,12,,,,,,,,,,,,,,,,4,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV24ads_V710_v5,12,20000,,12,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,1080,,,,,,1536,,,,4560,,,,,,,,24,,,,,,,,24,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NV28adms_V710_v5,14,20000,,14,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,1260,,,,,,1536,,,,5320,,,,,,,,28,,,,,,,,24,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NP10s,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,736,,,,,,,,,,,,10,,,,,,,,64,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7.500,,
Standard_NP20s,16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,1474,,,,,,,,,,,,20,,,,,,,,128,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,15000,,
Standard_NP40s,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,672,,,,,,,,,,,2948,,,,,,,,,,,,40,,,,,,,,256,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,
Standard_NM16ads_MA35D,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,32,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,8,,76,,,,,,,,,,,,,,1,1,,,,,,,4000,,,,,,,,,,,,,,,,,,,,
Standard_HB60rs,4,,,1,2.55,,,,,,,,,,,,,,,,,,2.0,,,,100,,263,,,,,,,,,,,700,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,8,,228,,,,,,,,,,,,,,,2.55,,,,,,,,,,,
Standard_HB60-45rs,4,,,1,2.55,,,,,,,,,,,,,,,,,,2.0,,,,100,,263,,,,,,,,,,,700,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,8,,228,,,,,,,,,,,,,,,2.55,,,,,,,,,,,
Standard_HB60-30rs,4,,,1,2.55,,,,,,,,,,,,,,,,,,2.0,,,,100,,263,,,,,,,,,,,700,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,8,,228,,,,,,,,,,,,,,,2.55,,,,,,,,,,,
Standard_HB60-15rs,4,,,1,2.55,,,,,,,,,,,,,,,,,,2.0,,,,100,,263,,,,,,,,,,,700,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,8,,228,,,,,,,,,,,,,,,2.55,,,,,,,,,,,
Standard_HB120rs_v2,8,,1,1,3.1,,,,,,,,,,960,,,,,,,,2.45,,,,200,,456,,,,,,,,,,,480,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,
Standard_HB120-96rs_v2,8,,1,1,3.1,,,,,,,,,,960,,,,,,,,2.45,,,,200,,456,,,,,,,,,,,480,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,
Standard_HB120-64rs_v2,8,,1,1,3.1,,,,,,,,,,960,,,,,,,,2.45,,,,200,,456,,,,,,,,,,,480,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,
Standard_HB120-32rs_v2,8,,1,1,3.1,,,,,,,,,,960,,,,,,,,2.45,,,,200,,456,,,,,,,,,,,480,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,
Standard_HB120-16rs_v2,8,,1,1,3.1,,,,,,,,,,960,,,,,,,,2.45,,,,200,,456,,,,,,,,,,,480,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,
Standard_HB120rs_v3,32,,2,1,3,,,,,,,,,,960,,,,,,,,1.9,,,,200,,448,,,,,,,,,,,480,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,"3,5",,,,,,,,,,,
Standard_HB120-96rs_v3,32,,2,1,3,,,,,,,,,,960,,,,,,,,1.9,,,,200,,448,,,,,,,,,,,480,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,"3,5",,,,,,,,,,,
Standard_HB120-64rs_v3,32,,2,1,3,,,,,,,,,,960,,,,,,,,1.9,,,,200,,448,,,,,,,,,,,480,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,"3,5",,,,,,,,,,,
Standard_HB120-32rs_v3,32,,2,1,3,,,,,,,,,,960,,,,,,,,1.9,,,,200,,448,,,,,,,,,,,480,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,"3,5",,,,,,,,,,,
Standard_HB120-16rs_v3,32,,2,1,3,,,,,,,,,,960,,,,,,,,1.9,,,,200,,448,,,,,,,,,,,480,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,350,,,,,8,,,,,,,,,,,,,,,,,"3,5",,,,,,,,,,,
Standard_HB176rs_v4,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,768,,,,,,,,,,,480,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HB176-144rs_v4,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,768,,,,,,,,,,,480,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HB176-96rs_v4,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,768,,,,,,,,,,,480,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HB176-48rs_v4,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,768,,,,,,,,,,,480,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HB176-24rs_v4,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,768,,,,,,,,,,,480,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HC44rs,4,,,1,3.4,,,,,,,,,,,,,,,,,,2.7,,,,100,,352,,,,,,,,,,,700,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,191,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HC44-16rs,4,,,1,3.4,,,,,,,,,,,,,,,,,,2.7,,,,100,,352,,,,,,,,,,,700,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,191,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HC44-32rs,4,,,1,3.4,,,,,,,,,,,,,,,,,,2.7,,,,100,,352,,,,,,,,,,,700,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,191,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HX176rs,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,1408,,,,,,,,,,,480,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HX176-144rs,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,1408,,,,,,,,,,,480,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HX176-96rs,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,1408,,,,,,,,,,,480,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HX176-48rs,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,1408,,,,,,,,,,,480,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
Standard_HX176-24rs,32,,2,1,,,,,,,,,,,1800,,,,,,,,2.4,,,,400,,1408,,,,,,,,,,,480,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,780,,,,,8,,,,,,,,,,,,,,,,,"3,7",,,,,,,,,,,
