Name der Größe,vCPUs (Anzahl),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximale Netzwerkbandbreite (MBit/s),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Arbeitsspeicherbandbreite (GB/s),Max. Bandbreite (MBit/s),Random Read1-Durchsatz (MB/s) des temporären Datenträgers,Temporäre Datenträgergröße (GiB),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Lokale SSD (Menge),vCPUs (Menge),RDMA-Leistung (GB/s),Spitzenfrequenz für alle Kerne (GHz),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Größe des Betriebssystemdatenträgers (GB),Größe des temporären Datenträgers (GB),EPC-Arbeitsspeicher (GiB),Netzwerkbandbreite,Anfängliches Guthaben (Menge),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. NICs (Anzahl),Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Arbeitsspeicher der Beschleuniger (GB),Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,vCPU,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,Basis-CPU-Frequenz (GHz),Größe der lokalen SSD (GB),Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Temp ReadOnly Storage IOPS,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Erwartete ausgehende Netzwerkbandbreite (MBit/s),NVMe-Datenträgergröße (TiB),Memory: GiB,NVMe-Datenträger-IOPS,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Kerne (Anzahl),Spitzenfrequenz für Einzelkern (GHz),Max. Remotespeicher (Menge),Max. Netzwerkbandbreite (MBit/s),ReadOnly-IOPS des temporären Datenträgers,Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Basis-CPU-Leistung der VM (%)1,Nicht zwischengespeicherter Special2Storage IOPS,Arbeitsspeicher (GiB),Nicht zwischengespeicherter Burst1Special2Storage IOPS,EPC-Speicher (MiB),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,ReadWrite-IOPS des temporären Datenträgers,Beschleuniger (Anzahl),NVMe-Datenträgerdurchsatz (MB/s),Temp ReadOnly Storage Speed (MBps),Speicherbandbreite (GB/s),Maximale Netzwerkbandbreite (MB/s),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),Temporäre Speichergröße (GiB),Random Write1-Durchsatz (MB/s) des temporären Datenträgers,Nicht zwischengespeicherter Storage Burst1IOPS,RAM (GiB),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Nicht zwischengespeicherte Datenträger-IOPS,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Max. gebildetes Guthaben (Menge),Max. NVMe-Datenträger (Anzahl),ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Max. Remotespeicherdatenträger (Menge),NVMe-Datenträgergröße (TB),SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,Max. Anzahl Datenträger,Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Maximale Anzahl NICs,SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Max Temp Storage (Menge),Max. temporäre Speicherdatenträger (Menge),Nicht zwischengespeicherte Speicher-IOPS,Guthabenbildung/Stunde (Menge),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,Temp ReadWrite Storage Speed (MBps),Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Temporärer Speicher (SSD): GiB,Maximale Bandbreite (Mbps),Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Arbeitsspeicher (GB),Temp ReadWrite Storage IOPS
Standard_D2s_v4,2,,,,,,,,,,,,48,,,,,,,,,,,,,,4000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.000,,,,,,,,,,,,,,,,4,,3200,,,,,,,,,,,,,,,,200,,8,
Standard_D4s_v4,4,,,,,,,,,,,,96,,,,,,,,,,,,,,8000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,200,,16,
Standard_D8s_v4,8,,,,,,,,,,,,192,,,,,,,,,,,,,,16000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,400,,32,
Standard_D16s_v4,16,,,,,,,,,,,,384,,,,,,,,,,,,,,32000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,800,,64,
Standard_D32s_v4,32,,,,,,,,,,,,768,,,,,,,,,,,,,,64000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,1600,,128,
Standard_D48s_v4,48,,,,,,,,,,,,1152,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,2.000,,192,
Standard_D64s_v4,64,,,,,,,,,,,,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,2.000,,256,
Standard_D2a_v41,2,,,,,,2000,,,,46,50,48,,,,,,,,,,,,,,4000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,4,,3200,,,,,,1,,,3000,,,,,,,200,,8,
Standard_D4a_v4,4,,,,,,4000,,,,93,100,96,,,,,,,,,,,,,,8000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,8,,6400,,,,,,1,,,6000,,,,,,,200,,16,
Standard_D8a_v4,8,,,,,,8.000,,,,187,200,192,,,,,,,,,,,,,,16000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,16,,12800,,,,,,1,,,12000,,,,,,,400,,32,
Standard_D16a_v4,16,,,,,,10000,,,,375,400,384,,,,,,,,,,,,,,32000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,32,,25600,,,,,,1,,,24.000,,,,,,,800,,64,
Standard_D32a_v4,32,,,,,,16000,,,,750,800,768,,,,,,,,,,,,,,64000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,,,,,,,32,,51.200,,,,,,1,,,48000,,,,,,,1600,,128,
Standard_D48a_v4,48,,,,,,24.000,,,,1000,1200,1148,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,32,,76800,,,,,,1,,,96000,,,,,,,2.000,,192,
Standard_D64a_v4,64,,,,,,32000,,,,1000,1600,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,32,,80.000,,,,,,1,,,96000,,,,,,,2.000,,256,
Standard_D96a_v4,96,,,,,,40.000,,,,1000,2400,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,32,,80.000,,,,,,1,,,96000,,,,,,,2.000,,384,
Standard_D2as_v42,2,4000,,,,,,,,,32,16,48,,,,,,,,,,,,,,4000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,100,,,,,,,,,,,,,4,,3200,,,,,,4,,,4000,,,,,,,200,,8,
Standard_D4as_v4,4,8000,,,,,,,,,64,32,96,,,,,,,,,,,,,,8000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,200,,,,,,,,,,,,,8,,6400,,,,,,8,,,8000,,,,,,,200,,16,
Standard_D8as_v4,8,16000,,,,,,,,,128,64,192,,,,,,,,,,,,,,16000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.000,,,400,,,,,,,,,,,,,16,,12800,,,,,,16,,,16000,,,,,,,400,,32,
Standard_D16as_v4,16,32000,,,,,,,,,255,128,384,,,,,,,,,,,,,,32000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,800,,,,,,,,,,,,,32,,25600,,,,,,32,,,32000,,,,,,,800,,64,
Standard_D32as_v4,32,64000,,,,,,,,,510,256,768,,,,,,,,,,,,,,64000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,1600,,,,,,,,,,,,,32,,51.200,,,,,,32,,,64000,,,,,,,1600,,128,
Standard_D48as_v4,48,96000,,,,,,,,,1020,384,1148,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,2.000,,,,,,,,,,,,,32,,76800,,,,,,32,,,96000,,,,,,,2.000,,192,
Standard_D64as_v4,64,128000,,,,,,,,,1020,512,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,,,2.000,,,,,,,,,,,,,32,,80.000,,,,,,32,,,128000,,,,,,,2.000,,256,
Standard_D96as_v4,96,192000,,,,,,,,,1020,768,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,2.000,,,,,,,,,,,,,32,,80.000,,,,,,32,,,192000,,,,,,,2.000,,384,
Standard_D2d_v4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Standard_D4d_v4,4,,,,,,,,,,250,150,96,,,,,,,,,,,,,,8000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,200,,16,
Standard_D8d_v4,8,,,,,,,,,,500,300,192,,,,,,,,,,,,,,16000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,400,,32,
Standard_D16d_v4,16,,,,,,,,,,1.000,600,384,,,,,,,,,,,,,,32000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,800,,64,
Standard_D32d_v4,32,,,,,,,,,,2.000,1200,768,,,,,,,,,,,,,,64000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,1600,,128,
Standard_D48d_v4,48,,,,,,,,,,3000,1800,1152,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,2.000,,192,
Standard_D64d_v4,64,,,,,,,,,,4000,2400,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,2.000,,256,
Standard_D2d_v41,,,,,,,,,,,125,75,48,,,,,,,,,,,,,,4000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.000,,,,,,,,,,,,,,,,4,,3200,,,,,,1,,,9000,,,,,,,200,,,
Standard_D2ds_v4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Standard_D4ds_v4,4,,,,,,,,,,250,150,96,,,,,,,,,,,,,,8000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,200,,16,
Standard_D8ds_v4,8,,,,,,,,,,500,300,192,,,,,,,,,,,,,,16000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,400,,32,
Standard_D16ds_v4,16,,,,,,,,,,1.000,600,384,,,,,,,,,,,,,,32000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,85000,,,,,,,800,,64,
Standard_D32ds_v4,32,,,,,,,,,,2.000,1200,768,,,,,,,,,,,,,,64000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,1600,,128,
Standard_D48ds_v4,48,,,,,,,,,,3000,1800,1152,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,2.000,,192,
Standard_D64ds_v4,64,,,,,,,,,,4000,2400,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,2.000,,256,
Standard_D2ds_v42,,,,,,,,,,,125,75,48,,,,,,,,,,,,,,4000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.000,,,,,,,,,,,,,,,,4,,3200,,,,,,1,,,9000,,,,,,,200,,,
Standard_DC2as_v5,2,,,,,,3000,82,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,,,8,
Standard_DC4as_v5,4,,,,,,5.000,144,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,,,16,
Standard_DC8as_v5,8,,,,,,5.000,200,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,,,32,
Standard_DC16as_v5,16,,,,,,10000,384,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,,,64,
Standard_DC32as_v5,32,,,,,,12500,768,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,,,128,
Standard_DC48as_v5,48,,,,,,15000,1152,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,,,192,
Standard_DC64as_v5,64,,,,,,20000,1200,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,,,256,
Standard_DC96as_v5,96,,,,,,20000,1600,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,,,384,
Standard_DC2ads_v5,2,,,,,,3000,82,,,,75,,,,,,,125,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3750,,,,,,1,,,9000,,,,,,,,,8,
Standard_DC4ads_v5,4,,,,,,5.000,144,,,,150,,,,,,,250,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,,,16,
Standard_DC8ads_v5,8,,,,,,5.000,200,,,,300,,,,,,,500,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,,,32,
Standard_DC16ads_v5,16,,,,,,10000,384,,,,600,,,,,,,1.000,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,,,64,
Standard_DC32ads_v5,32,,,,,,12500,768,,,,1200,,,,,,,2.000,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,,,128,
Standard_DC48ads_v5,48,,,,,,15000,1152,,,,1800,,,,,,,3000,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,,,192,
Standard_DC64ads_v5,64,,,,,,20000,1200,,,,2400,,,,,,,4000,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,,,256,
Standard_DC96ads_v5,96,,,,,,20000,1600,,,,3600,,,,,,,4000,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,450.000,,,,,,,,,384,
Standard_DC2es_v5,2,,,,,,3000,80,,,,,,,,,,,,,,,,,,,,,2,,,,,,1200,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,,,8,
Standard_DC4es_v5,4,,,,,,5.000,140,,,,,,,,,,,,,,,,,,,,,2,,,,,,1200,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,,,16,
Standard_DC8es_v5,8,,,,,,5.000,300,,,,,,,,,,,,,,,,,,,,,4,,,,,,1200,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,,,32,
Standard_DC16es_v5,16,,,,,,10000,600,,,,,,,,,,,,,,,,,,,,,8,,,,,,1200,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,,,64,
Standard_DC32es_v5,32,,,,,,12500,860,,,,,,,,,,,,,,,,,,,,,8,,,,,,2.000,,,,,,,,,,,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,,,128,
Standard_DC48es_v5,48,,,,,,15000,1320,,,,,,,,,,,,,,,,,,,,,8,,,,,,3000,,,,,,,,,,,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,,,192,
Standard_DC64es_v5,64,,,,,,20000,1740,,,,,,,,,,,,,,,,,,,,,8,,,,,,3000,,,,,,,,,,,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,,,256,
Standard_DC96es_v5,96,,,,,,30.000,2600,,,,,,,,,,,,,,,,,,,,,8,,,,,,4000,,,,,,,,,,,,,,,,,,,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,,,384,
Standard_DC2eds_v5,2,,,,,,3000,80,,,,47,,,,,,,100,,,,,,,,,,2,,,,,,1200,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3750,,,,,,1,,,9300,,,,,,,,,8,
Standard_DC4eds_v5,4,,,,,,5.000,140,,,,105,,,,,,,200,,,,,,,,,,2,,,,,,1200,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19.500,,,,,,,,,16,
Standard_DC8eds_v5,8,,,,,,5.000,300,,,,227,,,,,,,500,,,,,,,,,,4,,,,,,1200,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.900,,,,,,,,,32,
Standard_DC16eds_v5,16,,,,,,10000,600,,,,463,,,,,,,1.000,,,,,,,,,,8,,,,,,1200,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,76.700,,,,,,,,,64,
Standard_DC32eds_v5,32,,,,,,12500,860,,,,935,,,,,,,2.000,,,,,,,,,,8,,,,,,2.000,,,,,,,,,,,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,153.200,,,,,,,,,128,
Standard_DC48eds_v5,48,,,,,,15000,1320,,,,1407,,,,,,,3000,,,,,,,,,,8,,,,,,3000,,,,,,,,,,,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,229.700,,,,,,,,,192,
Standard_DC64eds_v5,64,,,,,,20000,1740,,,,2823,,,,,,,4000,,,,,,,,,,8,,,,,,3000,,,,,,,,,,,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,306.200,,,,,,,,,256,
Standard_DC96eds_v5,96,,,,,,30.000,2600,,,,2823,,,,,,,4000,,,,,,,,,,8,,,,,,4000,,,,,,,,,,,,,,,,,,,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,459.200,,,,,,,,,384,
Standard_DC4as_cc_v5,4,,,,,,,,,,,,144,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,,,16,
Standard_DC8as_cc_v5,8,,,,,,,,,,,,200,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,,,32,
Standard_DC16as_cc_v5,16,,,,,,,,,,,,384,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,,,64,
Standard_DC32as_cc_v5,32,,,,,,,,,,,,768,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,,,128,
Standard_DC48as_cc_v5,48,,,,,,,,,,,,1152,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,,,192,
Standard_DC64as_cc_v5,64,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,,,256,
Standard_DC96as_cc_v5,96,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,,,384,
Standard_DC4ads_cc_v5,4,,,,,,,,,,,150,144,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,,,,,,,,,,16,
Standard_DC8ads_cc_v5,8,,,,,,,,,,,300,200,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,,,,,,,,,,32,
Standard_DC16ads_cc_v5,16,,,,,,,,,,,600,384,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,,,,,,,,,,64,
Standard_DC32ads_cc_v5,32,,,,,,,,,,,1200,768,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,,,,,,,,,,128,
Standard_DC48ads_cc_v5,48,,,,,,,,,,,1800,1152,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,,,,,,,,,,192,
Standard_DC64ads_cc_v5,64,,,,,,,,,,,2400,1200,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,,,,,,,,,,256,
Standard_DC96ads_cc_v5,96,,,,,,,,,,,3600,1600,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,,,,,,,,,,384,
